t_video_s,LinPower_true,video,LinPower_fit_mse,LinPower_fit_anchor
0.0,0.00607,42.089306969015944,-52549.13059458381,2452.126099926885
0.1,0.00607,42.089306969015944,-52549.13059458381,2452.126099926885
0.2,0.00607,42.02701100251961,-53609.75823144824,1471.2629981957143
0.3,0.00607,42.089729568933485,-52541.935567729175,2458.780024558422
0.4,0.00607,41.92264502467092,-55386.65401909454,-172.00128527765628
0.5,0.00596,41.89152817722963,-55916.43773101852,-661.9425963117974
0.6,0.00596,41.91796657829526,-55466.30748307775,-245.66440797084942
0.7,0.00596,41.94638328340537,-54982.495376395294,201.76259385468438
0.8,0.00596,41.92813535175172,-55293.177780345315,-85.55493003386073
0.9,0.00594,42.09207038574468,-52502.08170330711,2495.6366778401425
1.0,0.00594,42.0602741622224,-53043.43221622717,1994.998447446269
1.1,0.00594,42.073854380065754,-52812.22054764908,2208.821835141862
1.2,0.00594,41.85841225279865,-56480.25697401678,-1183.3597952243872
1.3,0.00594,41.74493439917066,-58412.28812304756,-2970.092480299645
1.4,0.00594,41.78773484056153,-57683.58394583862,-2296.1905238931067
1.5,0.00594,41.90197049049418,-55738.65084265196,-497.52617653424386
1.6,0.00596,41.763624875869475,-58094.07111402019,-2675.806991547928
1.7,0.00596,41.838767051885775,-56814.72875753394,-1492.6776176338317
1.8,0.00596,41.91203845305308,-55567.23750825063,-339.0039873935748
1.9,0.00596,41.926503154547774,-55320.96695451962,-111.25421848136466
2.0,0.00583,41.724384243933,-58762.167317685205,-3293.658998986706
2.1,0.00583,41.794112772538064,-57574.99568080623,-2195.7686427830486
2.2,0.00583,41.73663673197609,-58553.56107606576,-3100.740996396984
2.3,0.00586,41.871938191591724,-56249.9694400829,-970.3910425977083
2.4,0.00586,41.882478330312594,-56070.51701238204,-804.43434042437
2.5,0.00586,41.89215235619044,-55905.810695378575,-652.1147672248771
2.6,0.00586,41.894084419948825,-55872.916106313234,-621.6940167754656
2.7,0.00586,42.03594044987967,-53457.72882754519,1611.859025947284
2.8,0.00586,42.01306458258246,-53847.20471879863,1251.6736814716132
2.9,0.00586,42.12283072652988,-51978.36773928872,2979.964716552873
3.0,0.00586,42.032094099019076,-53523.21534703043,1551.297422240721
3.1,0.00586,42.18331423922956,-50948.598257380305,3932.2903518521925
3.2,0.00586,42.107809763229376,-52234.108996786876,2743.4564884513384
3.3,0.00586,42.18112065922458,-50985.94532345538,3897.7519730679924
3.4,0.00586,42.10216071207532,-52330.28761176043,2654.5109892730834
